,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020","Month Summary:Oct, 2020"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2020-10-01,5,,83,2,1,2,25,3,,1,,,,,3,1,,,,,,,121
4,2020-10-02,7,,173,,3,10,77,4,,,103,9,,,12,,2,,3,1,,,397
5,2020-10-03,3,,3,,,1,27,1,,4,,5,,,3,,,2,8,1,,,55
6,2020-10-05,6,,800,,,,41,2,,13,,39,,,3,1,,,,,,1,900
7,2020-10-07,3.5,,36,,,,2,,,1,,6,,,,1,,,,,,,46
8,2020-10-08,4,,138,,2,5,33,3,,,1,8,,,6,,1,,,,,,197
9,2020-10-09,5,,19,1,1,,3,1,,,,3,,,1,,,,,,,,29
10,2020-10-11,2,,,,,,1,,,,,3,,,,,,1,,,,,5
11,2020-10-12,3,,,,,,,,,,,,,,,,,,,,,,0
12,2020-10-13,5,,67,,,,49,3,,3,,44,,,,,,,2,,,,168
13,2020-10-14,4,,,,,1,6,,,,,,,,,,,,,,,,7
14,2020-10-16,5,,113,,,1,19,1,,1,,,,1,1,1,,,,,,,138
15,2020-10-20,6,,505,1,11,7,35,5,,14,,44,,2,1,1,2,,6,,,,634
16,2020-10-24,6,,188,,9,1,10,1,,23,,192,1,3,,,1,,4,,,,433
17,2020-10-30,6.5,,35,,1,2,6,3,,6,,176,2,,,,1,,5,,,2,239
18,Total: Oct 2020,71 hours,0,2160,4,28,30,334,27,0,66,104,529,3,6,30,5,7,3,28,2,0,3,3369
19,Total: Fall 2020,111.5 hours,0,2389,18,61,54,672,63,0,72,4951,680,4,7,253,14,16,22,39,5,1,8,9329
