,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018","Month Summary:Oct, 2018"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2018-10-01,0,,,,,,,,,,,,,,,,,,,,,,0
4,2018-10-03,6,,,,,,,,,,,,,,,,,,,,,,0
5,2018-10-04,9,,660,1,,6,124,8,,2,9,25,,,29,,8,,,,,,872
6,2018-10-05,6,,2,,,,2,1,,,,3,,,,1,,,,,,,9
7,2018-10-06,0,,,,,,,,,,,,,,,,,,,,,,0
8,2018-10-07,5,,,,,,1,,,,,,,,,,,,,,,,1
9,2018-10-08,5,,,,,,,,,,,1,,,,1,1,,,,,,3
10,2018-10-09,6,,,,,,7,,,,,,,,,,,,,,,,7
11,2018-10-10,6,,,,,,15,,,,,,,,,,,,,,,,15
12,2018-10-11,6,,20,,,,,1,,,,,,,1,,,,,,,,22
13,2018-10-12,6,,311,,,4,76,2,,3,2,11,,,13,,1,,,,,,423
14,2018-10-14,8,,161,,1,,4,,,,,,,,,,,,,,,,166
15,2018-10-15,0,,,,,,,,,,,,,,,,,,,,,,0
16,2018-10-16,7,,275,,,,8,,,,,12,1,,2,,3,,,,,1,302
17,2018-10-17,6,,57,,,3,91,3,1,4,,6,,1,1,,3,,,,,,170
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2018-10-18,6,,198,1,2,,34,1,,1,,16,,1,2,1,,,1,,1,,259
20,2018-10-19,6,,198,1,2,,34,1,,1,,16,,1,2,1,,,1,,1,,259
21,2018-10-20,6,,279,,8,2,40,1,,19,,45,,,1,1,,1,7,,1,2,407
22,2018-10-21,5,,213,,1,2,53,3,,9,,52,3,6,2,,2,,2,,1,,349
23,2018-10-22,5,,76,,1,1,19,,1,1,,10,,,,,,,,,,,109
24,2018-10-24,7,,132,,,3,44,4,,18,,161,,,3,1,,,,,,,366
25,2018-10-25,5,,73,,,,5,,,2,,48,,,,,,1,1,,,,130
26,2018-10-26,3,,,,,,,,,,,,,,,,,,,,,,0
27,2018-10-27,0,,,,,,,,,,,,,,,,,,,,,,0
28,2018-10-28,0,,,,,,,,,,,,,,,,,,,,,,0
29,2018-10-29,0,,,,,,,,,,,,,,,,,,,,,,0
30,2018-10-30,4,,1,,,,,,,,,,,,,,,,,,,,1
31,2018-10-31,0,,,,,,,,,,,,,,,,,,,,,,0
32,Total: Oct 2018,123 hours,0,2656,3,15,21,557,25,2,60,11,406,4,9,56,6,18,2,12,0,4,3,3870
33,Total: Fall 2018,264 hours,0,2939,30,60,51,819,57,2,73,289,583,9,12,142,15,29,6,20,0,4,4,5144
