,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013","Month Summary:Oct, 2013"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2013-10-01,4,,2,,,,1,,,,,,,,,,,,,,,,3
4,2013-10-02,7,,40,,,1,9,1,,,,2,,,4,2,,,,,,1,60
5,2013-10-03,0,,,,,,,,,,,,,,,,,,,,,,0
6,2013-10-04,0,,,,,,,,,,,,,,,,,,,,,,0
7,2013-10-05,0,,,,,,,,,,,,,,,,,,,,,,0
8,2013-10-06,0,,,,,,,,,,,,,,,,,,,,,,0
9,2013-10-07,2,,11,,,,,,,,,,,,,,,,,,,,11
10,2013-10-08,4,,408,,,1,25,,,,,14,,,4,,2,1,,,,,455
11,2013-10-09,5,,74,,1,,2,,,1,,6,,,,,,,,,,,84
12,2013-10-10,5,,4,,,,,,,,,6,,,,,1,,,,,4,15
13,2013-10-11,0,,,,,,,,,,,,,,,,,,,,,,0
14,2013-10-12,4,,24,,,1,4,1,,,,8,,,,,,,,,,,38
15,2013-10-13,0,,,,,,,,,,,,,,,,,,,,,,0
16,2013-10-14,5.5,,398,,,6,34,3,,1,,53,,,1,1,,8,4,1,,2,512
17,2013-10-15,3,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2013-10-16,0,,,,,,,,,,,,,,,,,,,,,,0
20,2013-10-17,0,,,,,,,,,,,,,,,,,,,,,,0
21,2013-10-18,6,,82,,,,1,,,,,6,,,,,,,,,,,89
22,2013-10-19,0,,,,,,,,,,,,,,,,,,,,,,0
23,2013-10-20,6.25,,537,,4,,23,,,,,22,,,,1,,2,,,1,,590
24,2013-10-21,0,,,,,,,,,,,,,,,,,,,,,,0
25,2013-10-22,3,,140,,,,7,1,,,,4,,,1,1,,,,,,,154
26,2013-10-23,6,,229,,,1,61,1,,1,,96,4,3,,,,,,,,,396
27,2013-10-24,7,,78,,,,24,2,,,,31,,3,2,,,,,,1,,141
28,2013-10-25,6,,,77,,,32,2,1,,,74,,,,,,,,,,,186
29,2013-10-26,0,,,,,,,,,,,,,,,,,,,,,,0
30,2013-10-27,5,,52,,,,4,,,1,,4,1,,,,,,,,,2,64
31,2013-10-28,6.25,,133,,,1,7,1,,3,,105,,,,,,,,,,,250
32,2013-10-29,5.5,,,,,,,,,,,56,,,,,,1,,,,1,58
33,2013-10-30,4.25,,25,,,1,1,,,,,1,,,,,,,,,,,28
34,2013-10-31,0,,,,,,,,,,,,,,,,,,,,,,0
35,Total: Oct 2013,94.75 hours,0,2237,77,5,12,235,12,1,7,0,488,5,6,12,5,3,12,4,1,2,10,3134
36,Total: Fall 2013,206 hours,0,2921,110,47,33,1440,55,3,9,1816,701,7,11,256,25,15,22,52,3,2,30,7558
