,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017","Month Summary:Oct, 2017"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2017-10-01,5,,23,,,,3,,,,,2,,,,,,,,,,,28
4,2017-10-02,6,,16,,,,,,,,,,,,,,,,,,,,16
5,2017-10-03,6,,,,,,,,,,,1,,,,,,,,,,,1
6,2017-10-04,4,,,,,,,,,,,,,,,,,,,,,,0
7,2017-10-05,6,,9,,,,,1,,,,1,,,1,,1,,,,,,13
8,2017-10-06,7,,,,,,,,,,,,,,,,,,,,,,0
9,2017-10-07,4,,,,,,,,,,,,,,,,,,,,,,0
10,2017-10-08,5,,6,,,,1,,,,,1,,,,,,,,,,,8
11,2017-10-09,7,,36,,,1,6,2,,,,,,,7,,2,,,,,,54
12,2017-10-10,6,,167,,1,5,89,5,,,2,5,,,6,,1,,1,,,,282
13,2017-10-11,0,,,,,,,,,,,,,,,,,,,,,,0
14,2017-10-12,4,,120,,,,,,,,,,,,,,1,,,,,,121
15,2017-10-13,4,,37,,,,,,,,,,,,,,,,,,,,37
16,2017-10-14,6,,1,,,,8,1,,1,,,,,,,,,,,,,11
17,2017-10-15,4,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2017-10-16,8,,1306,,3,4,110,5,,14,1,28,,,15,,,,1,,,1,1488
20,2017-10-17,6,,272,,,2,1,,,,,,,,,,,,,,,,275
21,2017-10-18,6,,17,,,2,3,,,,,,,,,,,,,,,,22
22,2017-10-19,5,,9,,,2,5,2,,,,,,3,,,,,,,,,21
23,2017-10-20,3,,,,,,1,,,,,,,,,,,,,,,,1
24,2017-10-21,6,,,,,,1,,,,,,,,,,,,,,,,1
25,2017-10-23,5,,,,,,,,,,,,,,,,,,,,,,0
26,2017-10-24,4,,6,,,,,,,,,,,,,,1,,,,,,7
27,2017-10-25,3,,14,,,1,1,,,,,,,,,,,,,,,,16
28,2017-10-26,8,,413,,1,1,11,5,,1,,4,,1,1,,,,,,,,438
29,2017-10-27,5,,,,,,1,,,,,,,,,,,,,,,,1
30,2017-10-28,0,,,,,,,,,,,,,,,,,,,,,,0
31,2017-10-29,3,,,,,,,,,,,,,,,,1,,,,,,1
32,2017-10-30,4,,,,,,,,,,,,,,,,,,,,,,0
33,2017-10-31,5,,32,,,,,,,,,,,1,,,,,,,,,33
34,Total: Oct 2017,145 hours,0,2484,0,5,18,241,21,0,16,3,42,0,5,30,0,7,0,2,0,0,1,2875
35,Total: Fall 2017,244 hours,0,3609,6,37,34,467,43,0,77,273,346,1,8,99,7,19,3,29,3,1,8,5070
