,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015","Month Summary:Oct, 2015"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2015-10-01,4,,225,,6,,9,1,,,,9,,,,,,,,,,,250
4,2015-10-02,5,,469,,,,1,,,,,8,,,,,1,,,,,,479
5,2015-10-03,3,,,,,,,,,,,1,,,,,,,,,,,1
6,2015-10-04,2,,6,,,,,,,,,,,,,,1,,,,,,7
7,2015-10-05,4,,,,,,1,,,,,,,,,,,,,,,,1
8,2015-10-06,4,,20,,1,2,9,1,,,,1,,1,,,,,,,,,35
9,2015-10-07,5,,66,1,,,17,4,,,,2,,,,,1,,,,,5,96
10,2015-10-08,3,,57,1,,,10,1,,,,2,,,,1,,1,,,,5,78
11,2015-10-09,4,,,,,,,,,,,,,,,,,,,,,,0
12,2015-10-10,4,,91,,,,3,,1,,,4,,1,,,,,1,,,,101
13,2015-10-11,5,,78,1,,,2,,,,,1,,1,,,1,,,,,,84
14,2015-10-12,5,,,,,,1,1,,,,,,,,,,,,,,,2
15,2015-10-13,4,,2,,,,,1,,,,1,,,,,,,,,,,4
16,2015-10-14,5,,223,,1,4,102,3,,2,,6,,1,3,1,,,1,,1,,348
17,2015-10-15,3,,2,,,,4,,,,,,,,1,,,,,,,,7
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2015-10-16,6,,160,1,2,,65,5,1,2,,5,,,1,,2,1,,,,,245
20,2015-10-17,6,,2193,,10,13,116,14,,44,,189,,,3,2,2,4,19,,,,2609
21,2015-10-18,7,,607,,1,3,51,1,,15,,77,,,2,,,1,14,,,,772
22,2015-10-19,4,,,,2,,,,,,,,,,,,,,,,,,2
23,2015-10-20,4,,,,,,,,,,,,,,,,,,,,,,0
24,2015-10-22,5,,49,1,,5,26,9,3,7,,8,,3,1,2,,,,,,,114
25,2015-10-23,5,,79,,,,1,,,2,,7,1,2,,,,,,,,,92
26,2015-10-24,0,,,,,,,,,,,,,,,,,,,,,,0
27,2015-10-25,6,,192,,,2,35,1,2,15,2,133,,8,,,1,1,6,,,15,413
28,2015-10-26,5,,1,,,,1,,1,,,2,,,,,,,,,,,5
29,2015-10-27,3,,,,,,,1,,,,1,,,,,,,,,,,2
30,2015-10-28,0,,,,,,,,,,,,,,,,,,,,,,0
31,2015-10-29,3,,,,,,,,,,,,,,,,,,,,,,0
32,2015-10-30,6,,9,,,4,1,1,,2,,61,,,,,,,2,,,1,81
33,2015-10-31,3,,,,,,,,,,,,,,,,,,,,,,0
34,Total: Oct 2015,123 hours,0,4529,5,23,33,455,44,8,89,2,518,1,17,11,6,9,8,43,0,1,26,5828
35,Total: Fall 2015,230 hours,0,4820,28,65,52,1023,83,8,94,18,671,6,18,47,22,21,15,47,1,1,37,7077
