,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016","Month Summary:Oct, 2016"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2016-10-01,5,,,,,,3,1,,,,,,,,,,,,,,,4
4,2016-10-02,4,,,1,,,6,,,,,,,,,,,,,,,,7
5,2016-10-03,6,,54,2,,19,58,4,,,,1,,,6,1,6,,,1,,,152
6,2016-10-04,5,,19,,,,4,2,,,,4,,,1,,1,,,,,,31
7,2016-10-05,6,,,,,,,,,,,,,,,,,,,,,,0
8,2016-10-06,5,,2,,,,2,,,,,2,,,,1,,,,,,,7
9,2016-10-07,6,,12,,,1,4,2,,,,3,,,2,,,,,,,,24
10,2016-10-08,6,,173,2,,1,60,4,,2,2,16,,,14,,2,,1,1,,,278
11,2016-10-09,8,,1328,,2,5,156,4,,15,,170,,,15,3,7,,2,,,1,1708
12,2016-10-10,7,,747,2,1,,51,5,,2,1,22,,,11,,2,,3,,1,,848
13,2016-10-11,6,,,,,,5,,,1,,1,2,,,,,,,,,,9
14,2016-10-12,5,,,,,,,,,,,,,,,,1,,,,,,1
15,2016-10-13,7,,142,,,,34,3,,7,,10,,,,,,,,,,3,199
16,2016-10-14,6,,1,,,,,,,,,1,,,,,1,,,,,,3
17,2016-10-15,6,,1,,,,1,,,,,4,,1,,,,,,,,,7
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2016-10-16,2,,,,,,,,,,,,,,,,,,,,,,0
20,2016-10-18,6,,33,,,,1,,,,,2,,,,,,,,,,,36
21,2016-10-19,6,,17,,,,1,,,,,2,,,,,,,,,,,20
22,2016-10-22,8,,418,,6,5,124,3,,27,,351,1,,2,,,,,,,,937
23,2016-10-23,6,,57,,,,19,,,2,,14,,,,,,,,,,,92
24,2016-10-24,8,,134,,2,4,36,2,,5,,17,1,2,,,,,,,,,203
25,2016-10-25,8,,230,,2,3,46,7,1,24,,101,2,,1,,,,6,,,,423
26,2016-10-26,6,,41,,2,1,7,9,,31,,,,1,,,,3,,,,1,96
27,2016-10-28,7,,19,,,,3,1,,1,,20,,,,,,,1,,1,,46
28,2016-10-29,4,,,,,,,,,,,,,1,,,,1,,,,,2
29,2016-10-30,4,,13,,,,,,,,,2,,,,1,,,,,,1,17
30,2016-10-31,7,,35,,,,1,1,,1,,23,,,,,,1,,,,,62
31,Total: Oct 2016,160 hours,0,3476,7,15,39,622,48,1,118,3,766,6,5,52,6,20,5,13,2,2,6,5212
32,Total: Fall 2016,288.5 hours,0,3664,20,31,52,895,73,1,122,377,978,12,6,125,20,27,13,26,3,2,20,6467
