,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018","Month Summary:Sep, 2018"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2018-09-01,6,,,1,,,,1,,,,,,,,,,,,,,,2
4,2018-09-02,4,,2,,,,,,,1,1,3,,,2,,,,,,,,9
5,2018-09-04,5,,,1,,,1,,,,,2,,,,,,,,,,,4
6,2018-09-05,4,,,,,,,,,,,1,,,,,1,,,,,,2
7,2018-09-06,6,,1,1,2,,1,,,,,2,,,3,,,,,,,,10
8,2018-09-07,6,,1,,11,1,1,3,,,14,7,,,,1,1,,1,,,,41
9,2018-09-08,6,,2,,11,,6,,,,1,14,,,2,,,,2,,,,38
10,2018-09-09,1,,,,,,1,,,,,,,,,,,,,,,,1
11,2018-09-10,0,,,,,,,,,,,,,,,,,,,,,,0
12,2018-09-11,5,,1,2,2,,7,,,,,5,,,,,,1,1,,,,19
13,2018-09-12,0,,,,,,,,,,,,,,,,,,,,,,0
14,2018-09-13,5,,,,,,5,,,,,1,,,,,,,,,,,6
15,2018-09-14,6,,,,,,,,,,,,,,,,,,,,,,0
16,2018-09-15,4,,,1,,,6,1,,,,,,,1,,1,,,,,,10
17,2018-09-16,5,,,,,,3,1,,,,1,,,2,,,,,,,,7
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2018-09-17,5,,,,,,4,1,,,,,,,,,,,,,,,5
20,2018-09-18,8,,22,9,1,4,46,6,,,98,14,2,,44,2,3,,2,,,,253
21,2018-09-19,5,,14,6,9,7,28,6,,1,8,14,,1,9,,3,,,,,,106
22,2018-09-20,6,,3,,,,4,,,,,,,,,,,,,,,,7
23,2018-09-21,6,,,,,,3,,,,,,,,1,,,,,,,,4
24,2018-09-22,6,,40,1,5,7,89,1,,1,147,15,,,16,3,1,1,2,,,,329
25,2018-09-23,5,,7,2,2,2,12,1,,,3,2,,,1,,,,,,,,32
26,2018-09-24,6,,3,,,,,1,,,,,,,,1,,,,,,,5
27,2018-09-25,0,,,,,,,,,,,,,,,,,,,,,,0
28,2018-09-26,5,,4,,,3,7,2,,,,,,,3,,,,,,,,19
29,2018-09-27,6,,7,1,,,5,1,,1,1,,,,,,,,,,,,16
30,2018-09-28,6,,12,1,,,,,,,,,,,,,,,,,,,13
31,2018-09-29,7,,146,1,,2,29,3,,,5,3,,,2,,1,1,,,,,193
32,2018-09-30,7,,,,,,2,1,,,,,,,,,,,,,,,3
33,Total: Sep 2018,141 hours,0,265,27,43,26,260,29,0,4,278,84,2,1,86,7,11,3,8,0,0,0,1134
34,Total: Fall 2018,141 hours,0,2939,30,60,51,819,57,2,73,289,583,9,12,142,15,29,6,20,0,4,4,5144
