,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017","Month Summary:Sep, 2017"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2017-09-01,6,,2,,,,,1,,,,5,,,,,,,,,,,8
4,2017-09-02,3,,4,,,,,1,,,,,,,,,,,,,,,5
5,2017-09-03,4,,,,,,,1,,,,1,,,,,,,,,,,2
6,2017-09-04,0,,,,,,,,,,,,,,,,,,,,,,0
7,2017-09-05,5,,,1,,,,,,,,,,,,,,,,,,,1
8,2017-09-06,3,,,,,,6,,,,,4,,,,,,,,,,,10
9,2017-09-07,4,,,,,,1,1,,,,5,,,,,,,,,,,7
10,2017-09-08,7,,13,1,3,,35,1,,,128,7,,,9,2,,,3,,,2,204
11,2017-09-09,5,,1,,4,2,12,1,,,72,15,,,12,1,2,,4,1,,2,129
12,2017-09-10,3,,8,,6,1,3,1,,,,2,,,1,,1,,,,,,23
13,2017-09-11,4,,1,,1,,1,,,,,,,,,,,,,,,,3
14,2017-09-12,6,,,,,,1,,,,,,,,,,,,,,,,1
15,2017-09-13,5,,,,,,1,,,,,,,,,1,,,,,,,2
16,2017-09-14,2,,,,,,2,,,,,,,,,,,,,,,,2
17,2017-09-16,4,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2017-09-17,3,,,1,,1,3,1,,,,,,,,,,,,,,1,7
20,2017-09-18,4,,,,,,3,1,,,,,,,,,,,,,,,4
21,2017-09-19,4,,,,,,3,,,,,,,,1,,,,,,,,4
22,2017-09-20,4,,3,,,,4,1,,,,,,,,,1,,,,,,9
23,2017-09-21,0,,,,,,,,,,,,,,,,,,,,,,0
24,2017-09-22,0,,,,,,,,,,,,,,,,,,,,,,0
25,2017-09-23,6,,,,,,5,1,,,,,,,,2,,,,,,,8
26,2017-09-24,0,,,,,,,,,,,,,,,,,,,,,,0
27,2017-09-25,0,,,,,,,,,,,,,,,,,,,,,,0
28,2017-09-26,0,,,,,,,,,,,,,,,,,,,,,,0
29,2017-09-27,5,,22,1,1,,2,,,,2,1,,,1,,,,,,,1,31
30,2017-09-28,7,,297,,10,7,76,5,,5,48,22,,,39,,4,,1,,,,514
31,2017-09-29,0,,,,,,,,,,,,,,,,,,,,,,0
32,2017-09-30,5,,699,2,2,1,46,2,,2,19,46,,,6,,,1,,,,1,827
33,Total: Sep 2017,99 hours,0,1050,6,27,12,204,18,0,7,269,108,0,0,69,6,8,1,8,1,0,7,1801
34,Total: Fall 2017,99 hours,0,3609,6,37,34,467,43,0,77,273,346,1,8,99,7,19,3,29,3,1,8,5070
