,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013","Month Summary:Sep, 2013"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2013-09-01,6,,,12,2,1,3,,,,,2,,,,1,,,,,,,21
4,2013-09-02,7,,,,1,,24,1,,,,11,,,,1,,,,,,1,39
5,2013-09-03,6,,,2,,,39,7,,,1,4,,,,1,,,,,,,54
6,2013-09-04,6,,1,2,2,,22,1,,,,2,,,,,1,,,,,,31
7,2013-09-05,8,,39,,4,1,200,9,,,36,19,,,22,5,,7,30,,,2,374
8,2013-09-06,4,,,,,,1,,,,,1,,,,,,,,,,1,3
9,2013-09-07,0,,,,,,,,,,,,,,,,,,,,,,0
10,2013-09-08,7,,16,3,9,2,224,1,,,127,9,,,29,2,1,,,,,2,425
11,2013-09-09,3.5,,,,,,2,2,,,,,,,,,,,,,,,4
12,2013-09-10,2.75,,,,,,,,,,,,,,,,,,,,,,0
13,2013-09-11,0,,,,,,,,,,,,,,,,,,,,,,0
14,2013-09-12,2.5,,,,,,,,,,,,,,,,,,,,,,0
15,2013-09-13,6.5,,22,4,5,8,175,,,,911,5,,,67,2,,,,,,,1199
16,2013-09-14,5.5,,30,2,5,,85,2,,,40,5,,,18,2,1,1,2,1,,2,196
17,2013-09-15,4,,,,,,3,,,,,,,,2,,1,,,,,,6
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2013-09-16,6,,64,3,9,,93,9,,,409,2,,,19,1,4,,,,,,613
20,2013-09-17,3,,1,,,,,,,,5,1,,,,,,,,,,,7
21,2013-09-18,0,,,,,,,,,,,,,,,,,,,,,,0
22,2013-09-19,0,,,,,,,,,,,,,,,,,,,,,,0
23,2013-09-20,0,,,,,,,,,,,,,,,,,,,,,,0
24,2013-09-21,0,,,,,,,,,,,,,,,,,,,,,,0
25,2013-09-22,7,,159,2,2,4,200,2,,1,163,15,,,67,1,1,,4,,,2,623
26,2013-09-23,8,,165,3,1,3,105,3,,1,120,12,,,17,,,,6,1,,5,442
27,2013-09-24,6,,165,,2,1,12,4,,,4,1,,,3,3,,,1,,,1,197
28,2013-09-25,5,,,,,,8,,,,,,,,,,,,1,,,,9
29,2013-09-26,0,,,,,,,,,,,,,,,,,,,,,,0
30,2013-09-27,3.5,,,,,,,,,,,,,,,,,,,,,,0
31,2013-09-28,4,,7,,,,,,,,,,,,,,,,,,,,7
32,2013-09-29,0,,,,,,,,,,,,,,,,,,,,,,0
33,2013-09-30,0,,,,,,,,,,,,,,,,,,,,,,0
34,Total: Sep 2013,111.25 hours,0,669,33,42,20,1196,41,0,2,1816,89,0,0,244,19,9,8,44,2,0,16,4250
35,Total: Fall 2013,111.25 hours,0,2921,110,47,33,1440,55,3,9,1816,701,7,11,256,25,15,22,52,3,2,30,7558
