,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020","Month Summary:Sep, 2020"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2020-09-10,4.5,,9,1,3,4,18,10,,,100,11,,,18,1,3,2,3,1,,,184
4,2020-09-14,4.5,,8,2,4,3,72,5,,,3283,5,,,31,4,3,12,2,1,,,3435
5,2020-09-17,7,,53,8,22,10,142,7,,,727,10,,,145,3,2,2,4,1,,5,1141
6,2020-09-18,8,,142,2,4,4,74,11,,1,737,23,,,28,1,1,2,1,,1,,1032
7,2020-09-21,1.25,,1,,,,,,,,,,,,,,,,,,,,1
8,2020-09-22,1.25,,,,,,,,,,,,,,,,,,,,,,0
9,2020-09-23,6,,14,1,,1,29,1,,,,3,,,1,,,1,,,,,51
10,2020-09-24,5,,,,,,1,,,,,,,,,,,,,,,,1
11,2020-09-25,3,,,,,,2,,,,,,,,,,,,,,,,2
12,Total: Sep 2020,40.5 hours,0,227,14,33,22,338,34,0,1,4847,52,0,0,223,9,9,19,10,3,1,5,5847
13,Total: Fall 2020,40.5 hours,0,2389,18,61,54,672,63,0,72,4951,680,4,7,253,14,16,22,39,5,1,8,9329
