,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019","Month Summary:Sep, 2019"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2019-09-01,5,,,,,,,,,,,,,,,1,,,,,,,1
4,2019-09-03,0,,,,,,,,,,,,,,,,,,,,,,0
5,2019-09-04,4,,1,1,1,,,,,,,,,,,,,,,,,,3
6,2019-09-05,5,,1,,3,,1,,,,,1,,,,,1,,,,,,7
7,2019-09-06,5,,8,1,,,1,,,,,1,,,,,,,,,,,11
8,2019-09-07,7,,1,3,7,,71,28,,,20,9,,,1,,1,,,,,1,142
9,2019-09-08,7,,1,2,2,,73,5,,,152,20,7,,7,1,1,,,,,,271
10,2019-09-09,5,,2,,2,,2,,,,5,6,,,1,,,,,,,,18
11,2019-09-10,6,,2,,,,2,,,,,,,,,,,,,,,,4
12,2019-09-11,5,,,,,,,1,,,,,,,,,1,,,,,,2
13,2019-09-12,5,,2,,2,,3,,,,,1,,,,,,,,,,,8
14,2019-09-13,4,,,,,,,,,,,,,,,,,,,,,,0
15,2019-09-14,6,,,1,1,,,,,,,4,,,1,,2,,,,,,9
16,2019-09-15,0,,,,,,,,,,,,,,,,,,,,,,0
17,2019-09-16,4,,,1,,,3,,,,,,,,,,,,,,,,4
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2019-09-17,4,,1,3,1,,27,5,,,1,4,,,10,3,,6,,,,,61
20,2019-09-18,4,,4,,,,2,,,,,,,,,,,,,,,,6
21,2019-09-19,5,,,,,,1,2,,,,1,,,,,,,,,,,4
22,2019-09-20,5,,,,,,2,,,,,,,,1,,1,,,,,,4
23,2019-09-21,5,,,,,1,20,5,,,1,,,,1,,1,,,,,,29
24,2019-09-22,6,,1,,,,2,,,,,1,,,2,,,,,,,,6
25,2019-09-23,6,,2,,1,4,29,2,,,6,3,,,9,2,1,,,,,1,60
26,2019-09-24,6,,17,1,6,3,63,5,,,261,7,,,67,1,4,1,2,,,1,439
27,2019-09-25,0,,,,,,,,,,,,,,,,,,,,,,0
28,2019-09-26,5,,2,4,,,10,1,,1,,1,,,1,1,,,,,,,21
29,2019-09-27,0,,,,,,,,,,,,,,,,,,,,,,0
30,2019-09-28,1,,,,,,,,,,,,,,,,,,,,,,0
31,2019-09-29,5,,3,,2,,2,1,,,,2,,,1,,,,,,,2,13
32,2019-09-30,4,,2,,,,1,,,,2,1,,,,,,,,,,,6
33,Total: Sep 2019,124 hours,0,50,17,28,8,315,55,0,1,448,62,7,0,102,9,13,7,2,0,0,5,1129
34,Total: Fall 2019,124 hours,0,2256,18,48,17,459,79,1,33,449,457,13,5,111,14,15,7,8,0,2,6,3998
