,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016","Month Summary:Sep, 2016"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2016-09-01,6,,6,,2,,32,4,,,12,14,,,11,,,2,4,,,,87
4,2016-09-02,4.5,,6,2,7,,20,1,,,6,9,,,,,,1,1,,,2,55
5,2016-09-03,4,,3,,1,,1,,,,,,,,,,,,,,,,5
6,2016-09-04,3,,,,,,,,,,,,,,,,,,,,,,0
7,2016-09-05,3,,,,,,,,,,,,1,,1,,,,,,,1,3
8,2016-09-06,4,,,,,,,,,,,,,,,,,,,,,,0
9,2016-09-07,4,,,,,,,,,,,,,,,,,,,,,,0
10,2016-09-08,4,,,,,,,,,,,1,,,,,,,,,,,1
11,2016-09-09,5,,6,,,1,6,,,,,3,,,8,2,,,,,,,26
12,2016-09-10,0,,,,,,,,,,,,,,,,,,,,,,0
13,2016-09-11,7,,2,6,2,5,92,10,,,322,24,,,35,1,2,3,3,1,,2,510
14,2016-09-12,5,,,,,,1,,,,,,,,,,,,,,,,1
15,2016-09-13,5,,,,,,,1,,,,,,,,,,,,,,,1
16,2016-09-14,7,,10,,1,1,57,3,,,31,5,,,2,3,,,2,,,,115
17,2016-09-15,5,,3,,2,1,3,1,,,,2,,,,,1,,,,,,13
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2016-09-16,4,,,,,,,,,,,,,,,1,1,,,,,,2
20,2016-09-17,3,,,,,,,,,,,,,,,,,,,,,,0
21,2016-09-18,5,,,,,,1,,,,,,,,,,,,,,,,1
22,2016-09-19,5,,1,,,,,,,,,,,,,,,,,,,,1
23,2016-09-20,6,,3,1,,2,15,,,,,,,,4,,,,,,,,25
24,2016-09-21,4,,,1,,,4,,,,,,,,,,,,,,,,5
25,2016-09-22,3,,,,,1,6,,,,,,,,2,,,,,,,,9
26,2016-09-23,4,,,,,1,5,,,1,,3,,,4,2,,,,,,1,17
27,2016-09-24,6,,68,2,,,12,,,,,11,,,6,,1,,1,,,5,106
28,2016-09-25,5,,15,1,,1,1,2,,,,9,,,,,,1,,,,,30
29,2016-09-26,2,,,,,,,,,,,,,,,,,,,,,,0
30,2016-09-27,6,,4,,,,1,,,,,,2,,,,1,,,,,,8
31,2016-09-28,5,,,,,,,,,,,2,,,,,,,,,,,2
32,2016-09-30,4,,14,,,,2,,,,1,1,,,,,,,,,,,18
33,Total: Sep 2016,128.5 hours,0,141,13,15,13,259,22,0,1,372,84,3,0,73,9,6,7,11,1,0,11,1041
34,Total: Fall 2016,128.5 hours,0,3664,20,31,52,895,73,1,122,377,978,12,6,125,20,27,13,26,3,2,20,6467
