,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021","Month Summary:Sep, 2021"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2021-09-01,5,,10,,20,2,1,2,,,3,,,,5,,,,,,,2,45
4,2021-09-02,5.5,,12,1,4,1,11,,,,259,5,,,7,1,,,13,,,3,317
5,2021-09-03,2.5,,3,,1,1,4,,,,3,,,,,,,,,,,,12
6,2021-09-04,2,,,,,,,,,,6,,,,,,,,,,,2,8
7,2021-09-05,3.25,,1,,,,1,,,,4,2,,,3,,1,,2,,,,14
8,2021-09-09,6,,,,1,,2,,,,5,,,,1,,2,,,,,,11
9,2021-09-12,3,,,,,,,,,,,,,,,,,,,,,,0
10,2021-09-13,5,,,,4,2,37,2,,,5,14,,,6,1,,1,,1,,,73
11,2021-09-15,4,,5,2,3,2,51,2,,,931,2,,,13,3,,1,4,1,,2,1022
12,2021-09-18,9,,37,1,3,3,82,5,,3,80,2,,,28,1,1,3,1,1,,7,258
13,2021-09-19,6,,23,,2,,10,,,,,,,,,,,,,,,,35
14,2021-09-21,2.5,,,,,,1,,,,,,,,,,,,,,,,1
15,2021-09-28,6.25,,353,1,8,6,276,8,,1,71,17,1,,43,3,4,,4,,1,4,801
16,2021-09-29,5,,221,,2,2,58,2,,2,4,7,,,1,1,1,,1,1,,5,308
17,2021-09-30,4.5,,167,,1,8,28,2,,2,1,12,,,1,,1,,,,,2,225
18,Total: Sep 2021,69.5 hours,0,832,5,49,27,562,23,0,8,1372,61,1,0,108,10,10,5,25,4,1,27,3130
19,Total: Fall 2021,69.5 hours,0,4210,6,67,45,832,49,2,89,1374,565,4,2,118,21,15,12,71,10,3,30,7525
