,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015","Month Summary:Nov, 2015"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2015-11-01,4,,,,,,,,,,,,,,,,,,,,,,0
4,2015-11-02,4,,1,,,,,,,,,2,,,,,,,,,,,3
5,2015-11-03,5,,,,,,,,,,,,,,,,,,,,,,0
6,2015-11-04,5,,,,,,,,,,,1,,,,1,,,,,,,2
7,2015-11-05,5,,,,,,,,,,,,,,,,,,,,,,0
8,2015-11-06,4,,,,,,,,,,,,,,,,,,,,,,0
9,2015-11-07,5,,1,,,,1,,,2,,29,1,,,1,,,,,,1,36
10,2015-11-08,0,,,,,,,,,,,,,,,,,,,,,,0
11,2015-11-09,4,,,,,,,,,,,,,,,,,,,,,,0
12,2015-11-10,0,,,,,,,,,,,,,,,,,,,,,,0
13,2015-11-11,4,,,,,,,,,,,,,,,,,,,,,,0
14,2015-11-12,0,,,,,,,,,,,,,,,,,,,,,,0
15,2015-11-13,3,,,,,,,,,,,,,,,,,,,,,,0
16,2015-11-14,5,,,,,1,1,,,3,,50,4,,,,,1,,,,2,62
17,2015-11-15,3,,,,,,,,,,,1,,,,,,,,,,,1
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2015-11-16,4,,,,,,,,,,,,,,,,,,,,,,0
20,2015-11-17,4,,,,,,,,,,,2,,1,,,,,,,,,3
21,2015-11-18,4,,,,,,,,,,,,,,,,1,,,,,,1
22,2015-11-19,4,,,,,,,,,,,,,,,1,,,,,,,1
23,2015-11-20,4,,,,,,,,,,,2,,,,,1,,,,,,3
24,2015-11-23,4,,,,,,,,,,,,,,,,,,,,,,0
25,2015-11-24,4,,,,,,,1,,,,1,,,,,,,,,,,2
26,2015-11-26,0,,,,,,,,,,,,,,,,,,,,,,0
27,2015-11-30,3,,,,,,,,,,,2,,,,,,,,,,,2
28,Total: Nov 2015,82 hours,0,2,0,0,1,2,1,0,5,0,90,5,1,0,3,2,1,0,0,0,3,116
29,Total: Fall 2015,312 hours,0,4820,28,65,52,1023,83,8,94,18,671,6,18,47,22,21,15,47,1,1,37,7077
