,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020","Month Summary:Nov, 2020"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2020-11-02,4.5,,2,,,,,,,,,8,,1,,,,,,,,,11
4,2020-11-17,5,,,,,,,1,,,,28,1,,,,,,,,,,30
5,2020-11-18,4,,,,,2,,1,,4,,60,,,,,,,1,,,,68
6,2020-11-21,4.5,,,,,,,,,1,,3,,,,,,,,,,,4
7,Total: Nov 2020,18 hours,0,2,0,0,2,0,2,0,5,0,99,1,1,0,0,0,0,1,0,0,0,113
8,Total: Fall 2020,129.5 hours,0,2389,18,61,54,672,63,0,72,4951,680,4,7,253,14,16,22,39,5,1,8,9329
