,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017","Month Summary:Nov, 2017"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2017-11-01,0,,,,,,,,,,,,,,,,,,,,,,0
4,2017-11-03,6,,50,,2,,19,,,20,,52,,,,,2,,11,1,,,157
5,2017-11-04,5,,6,,,,,,,,,3,,,,,,,,,,,9
6,2017-11-05,0,,,,,,,,,,,,,,,,,,,,,,0
7,2017-11-06,5,,2,,1,2,,,,10,,42,1,2,,1,1,1,2,,,,65
8,2017-11-07,4,,10,,,1,1,,,1,,26,,,,,,,,,1,,40
9,2017-11-08,6,,5,,,,,,,1,,8,,,,,,,,,,,14
10,2017-11-09,5,,,,,,,1,,,,,,,,,,,,,,,1
11,2017-11-10,5,,2,,,,,,,11,1,29,,,,,1,1,,,,,45
12,2017-11-11,2,,,,,,,,,,,,,1,,,,,,,,,1
13,2017-11-12,0,,,,,,,,,,,,,,,,,,,,,,0
14,2017-11-13,3,,,,,,,,,,,,,,,,,,,,,,0
15,2017-11-14,4,,,,,,,,,,,,,,,,,,,,,,0
16,2017-11-15,3,,,,,,,,,,,,,,,,,,,,,,0
17,2017-11-16,2,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2017-11-17,4,,,,,,,,,,,,,,,,,,,,,,0
20,2017-11-19,5,,,,2,,2,,,6,,10,,,,,,,2,1,,,23
21,2017-11-20,4,,,,,,,,,,,,,,,,,,,,,,0
22,2017-11-21,4,,,,,,,,,,,,,,,,,,,,,,0
23,2017-11-22,5,,,,,1,,1,,3,,3,,,,,,,,,,,8
24,2017-11-23,5,,,,,,,,,,,,,,,,,,,,,,0
25,2017-11-24,5,,,,,,,,,,,,,,,,,,,,,,0
26,2017-11-25,6,,,,,,,,,,,,,,,,,,,,,,0
27,2017-11-26,4,,,,,,,,,,,,,,,,,,,,,,0
28,2017-11-27,5,,,,,,,2,,2,,18,,,,,,,4,,,,26
29,2017-11-28,6,,,,,,,,,,,,,,,,,,,,,,0
30,2017-11-29,4,,,,,,,,,,,5,,,,,,,,,,,5
31,2017-11-30,3,,,,,,,,,,,,,,,,,,,,,,0
32,Total: Nov 2017,110 hours,0,75,0,5,4,22,4,0,54,1,196,1,3,0,1,4,2,19,2,1,0,394
33,Total: Fall 2017,354 hours,0,3609,6,37,34,467,43,0,77,273,346,1,8,99,7,19,3,29,3,1,8,5070
