,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021","Month Summary:Nov, 2021"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2021-11-03,7,,46,,,1,2,1,,2,,30,,,,,,,3,,,,85
4,2021-11-05,5.5,,81,,,,,,,,,21,,,,1,,,5,,,,108
5,2021-11-09,4,,,,1,4,3,,,,,8,1,1,,1,,,,,,,19
6,2021-11-15,4,,,,,,2,1,,,,,,,,,,,,,,,3
7,2021-11-16,3,,,,,,1,1,,1,,18,,1,,1,,,,,,,23
8,2021-11-19,4.5,,,,1,1,,1,,,,25,1,,,,,,,,,2,31
9,2021-11-22,3,,,,,,3,,,,,16,,,,,,,,,,,19
10,2021-11-29,2,,,,,,,,,,,,,,,,,,,,,,0
11,Total: Nov 2021,33 hours,0,127,0,2,6,11,4,0,3,0,118,2,2,0,3,0,0,8,0,0,2,288
12,Total: Fall 2021,164.25 hours,0,4210,6,67,45,832,49,2,89,1374,565,4,2,118,21,15,12,71,10,3,30,7525
