,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016","Month Summary:Nov, 2016"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2016-11-01,3,,,,,,,,,,,,,,,1,,,,,,,1
4,2016-11-02,6,,15,,,,,,,,,2,,,,,,,,,,,17
5,2016-11-03,7,,19,,,,3,,,2,,10,2,,,,,,1,,,2,39
6,2016-11-06,5,,,,,,1,,,,,1,,,,1,,,,,,,3
7,2016-11-07,6,,,,,,,,,,,,,,,,,,,,,,0
8,2016-11-08,4,,,,,,,,,,,1,,,,,,,,,,,1
9,2016-11-09,6,,13,,,,2,,,,,67,1,1,,1,1,,,,,1,87
10,2016-11-11,6,,,,,,8,3,,1,,45,,,,1,,1,1,,,,60
11,2016-11-12,5,,,,,,,,,,,,,,,,,,,,,,0
12,2016-11-13,4,,,,,,,,,,,,,,,,,,,,,,0
13,2016-11-14,4,,,,,,,,,,,,,,,,,,,,,,0
14,2016-11-15,4,,,,,,,,,,,,,,,,,,,,,,0
15,2016-11-16,1,,,,,,,,,,,,,,,,,,,,,,0
16,2016-11-20,2,,,,,,,,,,,2,,,,,,,,,,,2
17,2016-11-22,4,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2016-11-23,4,,,,,,,,,,,,,,,,,,,,,,0
20,2016-11-26,3,,,,,,,,,,2,,,,,,,,,,,,2
21,2016-11-27,5,,,,,,,,,,,,,,,,,,,,,,0
22,2016-11-28,4,,,,1,,,,,,,,,,,,,,,,,,1
23,2016-11-29,4,,,,,,,,,,,,,,,1,,,,,,,1
24,2016-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
25,Total: Nov 2016,87 hours,0,47,0,1,0,14,3,0,3,2,128,3,1,0,5,1,1,2,0,0,3,214
26,Total: Fall 2016,375.5 hours,0,3664,20,31,52,895,73,1,122,377,978,12,6,125,20,27,13,26,3,2,20,6467
