,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013","Month Summary:Nov, 2013"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2013-11-01,0,,,,,,,,,,,,,,,,,,,,,,0
4,2013-11-02,0,,,,,,,,,,,,,,,,,,,,,,0
5,2013-11-03,4,,14,,,,1,1,,,,29,,,,,1,,2,,,2,50
6,2013-11-04,0,,,,,,,,,,,,,,,,,,,,,,0
7,2013-11-05,0,,,,,,,,,,,,,,,,,,,,,,0
8,2013-11-06,0,,,,,,,,,,,,,,,,,,,,,,0
9,2013-11-07,0,,,,,,,,,,,,,,,,,,,,,,0
10,2013-11-08,3,,1,,,,4,,,,,12,,2,,1,1,,1,,,,22
11,2013-11-09,0,,,,,,,,,,,,,,,,,,,,,,0
12,2013-11-10,4.25,,,,,,,1,,,,5,,,,,,,,,,,6
13,2013-11-11,0,,,,,,,,,,,,,,,,,,,,,,0
14,2013-11-12,3,,,,,1,,,1,,,24,,3,,,,1,,,,,30
15,2013-11-13,0,,,,,,,,,,,,,,,,,,,,,,0
16,2013-11-14,0,,,,,,,,,,,,,,,,,,,,,,0
17,2013-11-15,0,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2013-11-16,0,,,,,,,,,,,,,,,,,,,,,,0
20,2013-11-17,0,,,,,,,,,,,,,,,,,,,,,,0
21,2013-11-18,0,,,,,,,,,,,,,,,,,,,,,,0
22,2013-11-19,0,,,,,,,,,,,,,,,,,,,,,,0
23,2013-11-20,4,,,,,,1,,1,,,34,1,,,,1,,1,,,2,41
24,2013-11-21,0,,,,,,,,,,,,,,,,,,,,,,0
25,2013-11-22,0,,,,,,,,,,,,,,,,,,,,,,0
26,2013-11-23,2.25,,,,,,1,,,,,1,1,,,,,,,,,,3
27,2013-11-24,3,,,,,,,,,,,8,,,,,,,,,,,8
28,2013-11-25,0,,,,,,,,,,,,,,,,,,,,,,0
29,2013-11-26,0,,,,,,,,,,,,,,,,,,,,,,0
30,2013-11-27,0,,,,,,,,,,,,,,,,,,,,,,0
31,2013-11-28,4,,,,,,2,,,,,11,,,,,,1,,,,,14
32,2013-11-29,0,,,,,,,,,,,,,,,,,,,,,,0
33,2013-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
34,Total: Nov 2013,27.5 hours,0,15,0,0,1,9,2,2,0,0,124,2,5,0,1,3,2,4,0,0,4,174
35,Total: Fall 2013,233.5 hours,0,2921,110,47,33,1440,55,3,9,1816,701,7,11,256,25,15,22,52,3,2,30,7558
